ID,NAME,TYPE,PARENT_ID
1457,"CANTERBURY, CHRISTCHURCH",LC,1616
1458,Cluj-Napoca,LC,1560
1460,Budapest Business School - KVIK,LC,1549
1461,KYIV,LC,1610
1463,DNIPRO,LC,1610
1464,LVIV,LC,1610
1466,University of Queensland,LC,1591
1467,VILNIUS,LC,1580
1468,Debrecen,LC,1549
1469,UNINORTE,LC,1551
1471,PITESTI,LC,1560
1473,AMADOR,LC,1582
1475,BUCURESTI,LC,1560
1476,GRAZ,LC,1592
1477,Nitra,LC,1536
1478,AUCKLAND CITY,LC,1616
1479,UPB,LC,1551
1481,Ateneo de Manila University,LC,1604
1482,Lisboa ISEG,LC,1544
1483,WARSZAWA SGH,LC,1564
1484,MUENSTER,LC,1596
1486,ČZU Praha,LC,1570
1488,SZIE - Budapest,LC,1549
1489,AUC,LC,1609
1490,Bengaluru,LC,1585
1492,PORTO FEP,LC,1544
1494,CHELYABINSK - Expansions,LC,1618
1495,Expansiones Ecuador,LC,1567
1496,University of Melbourne,LC,1591
1499,INNSBRUCK,LC,1592
1500,-,LC,1611
1503,Aalborg,LC,1577
1504,Taiwan THU,LC,1561
1505,ECI,LC,1551
1506,BI Oslo,LC,1573
1507,[CLOSED] LISBOA CATOLICA,LC,1544
1510,KRAKOW,LC,1564
1513,Machala,LC,1567
1515,SAIMAA (Closed LC),LC,1620
1516,IZHEVSK - VAM,LC,1618
1517,Singidunum,LC,1547
1518,MARIBOR,LC,1587
1520,MANNHEIM,LC,1596
1523,HAMBURG,LC,1596
1527,TORUN UMK,LC,1564
1529,BRASOV,LC,1560
1530,"SPUEF, Saint-Petersburg",LC,1618
1531,Odense,LC,1577
1532,Latvia University(LU),LC,1579
1533,KAISERSLAUTERN,LC,1596
1534,Macquarie University,LC,1591
1535,Argentina,MC,1627
1536,Slovakia,MC,1629
1537,Cote D'Ivoire,MC,1632
1538,Puerto Rico,MC,1627
1539,Indonesia,MC,1630
1540,Ireland,MC,1629
1541,Armenia,MC,1629
1542,Italy,MC,1629
1543,Togo,MC,1632
1544,Portugal,MC,1629
1545,South Africa,MC,1632
1547,Serbia,MC,1629
1548,Macedonia,MC,1629
1549,Hungary,MC,1629
1550,Iceland,MC,1629
1551,Colombia,MC,1627
1552,Morocco,MC,1632
1553,Peru,MC,1627
1554,Canada,MC,1627
1555,Greece,MC,1629
1556,Guatemala,MC,1627
1557,Venezuela,MC,1627
1558,Switzerland,MC,1629
1559,Tunisia,MC,1632
1560,Romania,MC,1629
1561,Taiwan,MC,1630
1562,Korea,MC,1630
1563,United Kingdom,MC,1629
1564,Poland,MC,1629
1565,Estonia,MC,1629
1566,Chile,MC,1627
1567,Ecuador,MC,1627
1568,Ghana,MC,1632
1570,Czech Republic,MC,1629
1572,El Salvador,MC,1627
1573,Norway,MC,1629
1574,Mozambique,MC,1632
1575,Singapore,MC,1630
1577,Denmark,MC,1629
1578,Nigeria,MC,1632
1579,Latvia,MC,1629
1580,Lithuania,MC,1629
1581,Cameroon,MC,1632
1582,Panama,MC,1627
1584,Botswana,MC,1632
1585,India,MC,1630
1587,Slovenia,MC,1629
1588,Bulgaria,MC,1629
1589,Mexico,MC,1627
1590,Bosnia and Herzegovina,MC,1629
1591,Australia,MC,1630
1592,Austria,MC,1629
1593,Bolivia,MC,1627
1594,Hong Kong,MC,1630
1595,Croatia,MC,1629
1596,Germany,MC,1629
1597,France,MC,1629
1598,The Netherlands,MC,1629
1599,Dominican Republic,MC,1627
1601,Sweden,MC,1629
1602,Uganda,MC,1632
1603,Pakistan,MC,1630
1604,Philippines,MC,1630
1605,Senegal,MC,1632
1606,Brazil,MC,1627
